system_time,cpu_usage_usr,cpu_usage_sys,cpu_usage_idl,cpu_usage_wai,cpu_usage_hiq,cpu_usage_siq,memory_used,memory_buff,memory_cach,memory_free,load_1m,load_5m,load_15m
2021-01-05 23:05:33,0,0,100,0,0,0,11.3G,99.8M,3676M,740G,0.60,0.77,0.50
2021-01-05 23:05:34,0,1,99,0,0,0,11.3G,99.8M,3676M,740G,0.60,0.77,0.50
2021-01-05 23:05:35,0,1,99,0,0,0,11.3G,99.8M,3676M,740G,0.60,0.77,0.50
2021-01-05 23:05:36,0,1,99,0,0,0,11.3G,99.8M,3676M,740G,0.60,0.77,0.50
2021-01-05 23:05:37,0,1,99,0,0,0,11.3G,99.8M,3676M,740G,0.63,0.77,0.51
2021-01-05 23:05:38,0,2,98,0,0,0,11.3G,99.9M,3676M,740G,0.63,0.77,0.51
2021-01-05 23:05:39,0,0,100,0,0,0,11.3G,99.9M,3676M,740G,0.63,0.77,0.51
2021-01-05 23:05:40,0,1,99,0,0,0,11.3G,99.9M,3676M,740G,0.63,0.77,0.51
2021-01-05 23:05:41,0,1,99,0,0,0,11.3G,99.9M,3676M,740G,0.63,0.77,0.51
2021-01-05 23:05:42,0,1,99,0,0,0,11.3G,99.9M,3676M,740G,0.74,0.79,0.51
2021-01-05 23:05:43,0,1,99,0,0,0,11.3G,99.9M,3676M,740G,0.74,0.79,0.51
2021-01-05 23:05:44,0,1,99,0,0,0,11.3G,99.9M,3676M,740G,0.74,0.79,0.51
2021-01-05 23:05:45,0,1,99,0,0,0,11.3G,99.9M,3676M,740G,0.74,0.79,0.51
2021-01-05 23:05:46,0,1,99,0,0,0,11.3G,99.9M,3676M,740G,0.74,0.79,0.51
2021-01-05 23:05:47,0,0,100,0,0,0,11.3G,99.9M,3676M,740G,0.84,0.81,0.52
2021-01-05 23:05:48,0,0,100,0,0,0,11.3G,99.9M,3676M,740G,0.84,0.81,0.52
2021-01-05 23:05:49,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.84,0.81,0.52
2021-01-05 23:05:50,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.84,0.81,0.52
2021-01-05 23:05:51,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.84,0.81,0.52
2021-01-05 23:05:52,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.78,0.80,0.52
2021-01-05 23:05:53,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.78,0.80,0.52
2021-01-05 23:05:54,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.78,0.80,0.52
2021-01-05 23:05:55,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.78,0.80,0.52
2021-01-05 23:05:56,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.78,0.80,0.52
2021-01-05 23:05:57,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.71,0.79,0.52
2021-01-05 23:05:58,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.71,0.79,0.52
2021-01-05 23:05:59,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.71,0.79,0.52
2021-01-05 23:06:00,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.71,0.79,0.52
2021-01-05 23:06:01,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.71,0.79,0.52
2021-01-05 23:06:02,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.66,0.77,0.51
2021-01-05 23:06:03,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.66,0.77,0.51
2021-01-05 23:06:04,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.66,0.77,0.51
2021-01-05 23:06:05,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.66,0.77,0.51
2021-01-05 23:06:06,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.66,0.77,0.51
2021-01-05 23:06:07,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.60,0.76,0.51
2021-01-05 23:06:08,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.60,0.76,0.51
2021-01-05 23:06:09,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.60,0.76,0.51
2021-01-05 23:06:10,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.60,0.76,0.51
2021-01-05 23:06:11,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.60,0.76,0.51
2021-01-05 23:06:12,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.56,0.75,0.51
2021-01-05 23:06:13,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.56,0.75,0.51
2021-01-05 23:06:14,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.56,0.75,0.51
2021-01-05 23:06:15,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.56,0.75,0.51
2021-01-05 23:06:16,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.56,0.75,0.51
2021-01-05 23:06:17,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.51,0.74,0.50
2021-01-05 23:06:18,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.51,0.74,0.50
2021-01-05 23:06:19,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.51,0.74,0.50
2021-01-05 23:06:20,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.51,0.74,0.50
2021-01-05 23:06:21,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.51,0.74,0.50
2021-01-05 23:06:22,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.47,0.72,0.50
2021-01-05 23:06:23,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.47,0.72,0.50
2021-01-05 23:06:24,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.47,0.72,0.50
2021-01-05 23:06:25,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.47,0.72,0.50
2021-01-05 23:06:26,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.47,0.72,0.50
2021-01-05 23:06:27,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.43,0.71,0.50
2021-01-05 23:06:28,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.43,0.71,0.50
2021-01-05 23:06:29,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.43,0.71,0.50
2021-01-05 23:06:30,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.43,0.71,0.50
2021-01-05 23:06:31,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.43,0.71,0.50
2021-01-05 23:06:32,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.48,0.72,0.50
2021-01-05 23:06:33,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.48,0.72,0.50
2021-01-05 23:06:34,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.48,0.72,0.50
2021-01-05 23:06:35,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.48,0.72,0.50
2021-01-05 23:06:36,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.48,0.72,0.50
2021-01-05 23:06:37,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.52,0.72,0.50
2021-01-05 23:06:38,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.52,0.72,0.50
2021-01-05 23:06:39,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.52,0.72,0.50
2021-01-05 23:06:40,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.52,0.72,0.50
2021-01-05 23:06:41,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.52,0.72,0.50
2021-01-05 23:06:42,0,0,100,0,0,0,11.3G,100M,3676M,740G,0.48,0.71,0.50
2021-01-05 23:06:43,0,0,100,0,0,0,11.3G,100M,3679M,740G,0.48,0.71,0.50
2021-01-05 23:06:44,0,0,100,0,0,0,11.3G,100M,3679M,740G,0.48,0.71,0.50
2021-01-05 23:06:45,0,0,100,0,0,0,11.3G,100M,3679M,740G,0.48,0.71,0.50
2021-01-05 23:06:46,0,0,100,0,0,0,11.3G,100M,3679M,740G,0.48,0.71,0.50
2021-01-05 23:06:47,0,0,100,0,0,0,11.3G,100M,3684M,740G,0.44,0.70,0.50
2021-01-05 23:06:48,0,0,99,1,0,0,11.3G,100M,3723M,739G,0.44,0.70,0.50
2021-01-05 23:06:49,0,0,98,1,0,0,11.4G,100M,3817M,739G,0.44,0.70,0.50
2021-01-05 23:06:50,0,0,99,1,0,0,11.4G,100M,3897M,739G,0.44,0.70,0.50
2021-01-05 23:06:51,0,0,99,0,0,0,11.4G,100M,3916M,739G,0.44,0.70,0.50
2021-01-05 23:06:52,0,0,99,1,0,0,11.4G,100M,3944M,739G,0.49,0.70,0.50
2021-01-05 23:06:53,0,0,99,1,0,0,11.6G,100M,4017M,739G,0.49,0.70,0.50
2021-01-05 23:06:54,0,0,98,1,0,0,11.9G,100M,4082M,739G,0.49,0.70,0.50
2021-01-05 23:06:55,0,0,98,1,0,0,12.1G,100M,4158M,738G,0.49,0.70,0.50
2021-01-05 23:06:56,0,0,98,1,0,0,12.3G,100M,4232M,738G,0.49,0.70,0.50
2021-01-05 23:06:57,0,0,98,1,0,0,12.6G,100M,4310M,738G,0.53,0.71,0.50
2021-01-05 23:06:58,0,0,99,1,0,0,13.0G,100M,4378M,737G,0.53,0.71,0.50
2021-01-05 23:06:59,0,0,99,1,0,0,13.3G,100M,4447M,737G,0.53,0.71,0.50
2021-01-05 23:07:00,0,0,99,1,0,0,13.6G,100M,4512M,736G,0.53,0.71,0.50
2021-01-05 23:07:01,1,0,99,0,0,0,13.9G,100M,4552M,736G,0.53,0.71,0.50
2021-01-05 23:07:02,9,1,90,0,0,0,14.4G,100M,4581M,736G,0.56,0.71,0.51
2021-01-05 23:07:03,2,1,97,0,0,0,11.3G,100M,4569M,739G,0.56,0.71,0.51
2021-01-05 23:07:04,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.56,0.71,0.51
2021-01-05 23:07:05,0,0,100,0,0,0,11.3G,100M,4569M,739G,0.56,0.71,0.51
2021-01-05 23:07:06,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.56,0.71,0.51
2021-01-05 23:07:07,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.60,0.72,0.51
2021-01-05 23:07:08,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.60,0.72,0.51
2021-01-05 23:07:09,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.60,0.72,0.51
2021-01-05 23:07:10,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.60,0.72,0.51
2021-01-05 23:07:11,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.60,0.72,0.51
2021-01-05 23:07:12,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.63,0.72,0.51
2021-01-05 23:07:13,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.63,0.72,0.51
2021-01-05 23:07:14,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.63,0.72,0.51
2021-01-05 23:07:15,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.63,0.72,0.51
2021-01-05 23:07:16,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.63,0.72,0.51
2021-01-05 23:07:17,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.58,0.71,0.51
2021-01-05 23:07:18,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.58,0.71,0.51
2021-01-05 23:07:19,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.58,0.71,0.51
2021-01-05 23:07:20,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.58,0.71,0.51
2021-01-05 23:07:21,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.58,0.71,0.51
2021-01-05 23:07:22,0,0,100,0,0,0,11.3G,100M,4570M,739G,0.53,0.70,0.50
