system_time,cpu_usage_usr,cpu_usage_sys,cpu_usage_idl,cpu_usage_wai,cpu_usage_hiq,cpu_usage_siq,memory_used,memory_buff,memory_cach,memory_free,load_1m,load_5m,load_15m
2021-11-18 10:05:06,4,0,96,0,0,0,25.5G,612M,337G,391G,0.83,1.27,1.10
2021-11-18 10:05:07,0,1,99,0,0,0,25.5G,612M,337G,391G,0.83,1.27,1.10
2021-11-18 10:05:08,0,1,99,0,0,0,25.5G,612M,337G,391G,0.85,1.27,1.10
2021-11-18 10:05:09,0,1,99,0,0,0,25.5G,612M,337G,391G,0.85,1.27,1.10
2021-11-18 10:05:10,0,1,99,0,0,0,25.5G,612M,337G,391G,0.85,1.27,1.10
2021-11-18 10:05:11,0,1,99,0,0,0,25.5G,612M,337G,391G,0.85,1.27,1.10
2021-11-18 10:05:12,0,0,100,0,0,0,25.5G,612M,337G,391G,0.85,1.27,1.10
2021-11-18 10:05:13,0,0,100,0,0,0,25.5G,612M,337G,391G,0.78,1.24,1.09
2021-11-18 10:05:14,0,0,100,0,0,0,25.5G,612M,337G,391G,0.78,1.24,1.09
2021-11-18 10:05:15,0,0,100,0,0,0,25.5G,612M,337G,391G,0.78,1.24,1.09
2021-11-18 10:05:16,0,0,100,0,0,0,25.5G,612M,337G,391G,0.78,1.24,1.09
2021-11-18 10:05:17,0,0,99,1,0,0,25.5G,612M,337G,391G,0.78,1.24,1.09
2021-11-18 10:05:18,0,0,98,1,0,0,25.6G,612M,337G,391G,0.80,1.24,1.09
2021-11-18 10:05:19,0,0,98,1,0,0,25.6G,612M,338G,391G,0.80,1.24,1.09
2021-11-18 10:05:20,0,0,99,1,0,0,25.6G,612M,338G,391G,0.80,1.24,1.09
2021-11-18 10:05:21,0,0,99,1,0,0,25.6G,612M,338G,391G,0.80,1.24,1.09
2021-11-18 10:05:22,0,1,99,0,0,0,26.1G,612M,338G,390G,0.80,1.24,1.09
2021-11-18 10:05:23,0,0,98,1,0,0,26.3G,612M,338G,390G,0.89,1.25,1.10
2021-11-18 10:05:24,0,0,99,1,0,0,26.5G,612M,338G,390G,0.89,1.25,1.10
2021-11-18 10:05:25,0,0,98,1,0,0,26.8G,612M,338G,389G,0.89,1.25,1.10
2021-11-18 10:05:26,0,0,98,1,0,0,27.1G,612M,338G,389G,0.89,1.25,1.10
2021-11-18 10:05:27,0,0,98,1,0,0,27.4G,612M,338G,389G,0.89,1.25,1.10
2021-11-18 10:05:28,0,0,98,1,0,0,27.7G,612M,338G,388G,1.06,1.28,1.11
2021-11-18 10:05:29,0,0,99,1,0,0,27.9G,612M,338G,388G,1.06,1.28,1.11
2021-11-18 10:05:30,0,0,99,1,0,0,28.2G,612M,338G,388G,1.06,1.28,1.11
