time,load_1m,load_5m,load_15m,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,proc_total,proc_running,proc_sleeping,proc_stopped,proc_zombie
10:05:06,0.83,1.27,1.10,0.2,1.6,0.0,98.1,0.1,0.0,0.0,0.0,897,2,895,0,0
10:05:09,0.85,1.27,1.10,0.0,1.2,0.0,98.8,0.0,0.0,0.0,0.0,909,2,907,0,0
10:05:12,0.85,1.27,1.10,0.0,0.9,0.0,99.1,0.0,0.0,0.0,0.0,918,1,917,0,0
10:05:15,0.78,1.24,1.09,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,918,1,917,0,0
10:05:18,0.80,1.24,1.09,0.1,0.1,0.0,99.0,0.7,0.0,0.0,0.0,920,1,919,0,0
10:05:21,0.80,1.24,1.09,0.2,0.1,0.0,98.8,1.0,0.0,0.0,0.0,920,1,919,0,0
10:05:24,0.89,1.25,1.10,0.3,0.4,0.0,98.5,0.8,0.0,0.0,0.0,937,1,936,0,0
10:05:27,0.89,1.25,1.10,0.4,0.3,0.0,98.5,0.9,0.0,0.0,0.0,938,3,935,0,0
10:05:30,1.06,1.28,1.11,0.3,0.2,0.0,98.5,0.9,0.0,0.0,0.0,938,2,936,0,0
10:05:33,1.06,1.28,1.11,1.1,0.2,0.0,98.6,0.1,0.0,0.0,0.0,938,2,936,0,0
10:05:36,1.06,1.28,1.11,4.2,0.3,0.0,95.4,0.1,0.0,0.0,0.0,943,5,938,0,0
10:05:39,1.37,1.34,1.13,5.7,0.6,0.0,93.7,0.0,0.0,0.0,0.0,943,4,939,0,0
10:05:42,1.34,1.33,1.13,1.9,0.3,0.0,97.9,0.0,0.0,0.0,0.0,943,2,941,0,0
10:05:45,1.34,1.33,1.13,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,943,2,941,0,0
10:05:48,1.32,1.33,1.13,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,943,2,941,0,0
10:05:51,1.32,1.33,1.13,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,943,2,941,0,0
10:05:54,1.29,1.32,1.13,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,943,2,941,0,0
10:05:57,1.27,1.32,1.13,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,943,2,941,0,0
10:06:00,1.27,1.32,1.13,2.7,1.1,0.0,96.1,0.1,0.0,0.0,0.0,944,5,939,0,0
10:06:03,1.49,1.36,1.14,5.5,0.5,0.0,94.0,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:06,1.49,1.36,1.14,6.0,0.8,0.0,93.2,0.0,0.0,0.0,0.0,946,5,941,0,0
10:06:09,1.77,1.42,1.16,5.5,0.5,0.0,94.0,0.0,0.0,0.0,0.0,946,5,941,0,0
10:06:12,1.95,1.47,1.18,5.5,0.4,0.0,94.0,0.0,0.0,0.0,0.0,946,5,941,0,0
10:06:15,1.95,1.47,1.18,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:18,2.11,1.51,1.19,5.5,0.4,0.0,94.0,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:21,2.11,1.51,1.19,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:24,2.26,1.55,1.21,5.6,0.4,0.0,94.0,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:27,2.40,1.59,1.22,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:30,2.40,1.59,1.22,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:33,2.53,1.63,1.24,5.6,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:36,2.53,1.63,1.24,5.4,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,6,941,0,0
10:06:39,2.65,1.67,1.25,5.5,0.4,0.0,94.0,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:42,2.76,1.71,1.27,5.6,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:45,2.76,1.71,1.27,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:48,2.93,1.76,1.29,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,6,941,0,0
10:06:51,2.93,1.76,1.29,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:54,3.18,1.83,1.31,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:06:57,3.25,1.87,1.33,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:00,3.25,1.87,1.33,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:03,3.31,1.90,1.34,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:06,3.31,1.90,1.34,5.5,0.4,0.0,94.0,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:09,3.36,1.94,1.35,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:12,3.41,1.97,1.37,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:15,3.41,1.97,1.37,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:18,3.46,2.01,1.38,5.6,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:21,3.46,2.01,1.38,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:24,3.50,2.04,1.40,5.4,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,6,941,0,0
10:07:27,3.54,2.07,1.41,5.4,0.4,0.0,94.2,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:30,3.54,2.07,1.41,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:33,3.58,2.10,1.43,5.5,0.5,0.0,94.0,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:37,3.58,2.10,1.43,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:40,3.69,2.15,1.44,5.5,0.3,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:43,3.72,2.18,1.46,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:46,3.72,2.18,1.46,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:49,3.82,2.23,1.48,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,947,5,942,0,0
10:07:52,3.82,2.23,1.48,5.6,0.3,0.0,94.1,0.0,0.0,0.0,0.0,948,6,942,0,0
10:07:55,3.91,2.28,1.50,5.5,0.5,0.0,94.0,0.0,0.0,0.0,0.0,948,5,943,0,0
10:07:58,3.92,2.30,1.51,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,948,5,943,0,0
10:08:01,3.92,2.30,1.51,5.5,0.4,0.0,94.0,0.0,0.0,0.0,0.0,948,5,943,0,0
10:08:04,3.93,2.33,1.52,5.5,0.3,0.0,94.2,0.0,0.0,0.0,0.0,948,5,943,0,0
10:08:07,3.93,2.33,1.52,5.6,0.4,0.0,94.0,0.0,0.0,0.0,0.0,948,5,943,0,0
10:08:10,3.93,2.36,1.54,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,948,5,943,0,0
10:08:13,4.02,2.40,1.55,5.5,0.4,0.0,94.1,0.0,0.0,0.0,0.0,948,5,943,0,0
10:08:16,4.02,2.40,1.55,5.4,0.3,0.0,94.3,0.0,0.0,0.0,0.0,948,5,943,0,0
10:08:19,4.02,2.43,1.57,5.3,0.4,0.0,94.3,0.0,0.0,0.0,0.0,948,5,943,0,0
10:08:22,4.02,2.43,1.57,5.3,0.5,0.0,94.3,0.0,0.0,0.0,0.0,948,5,943,0,0
10:08:25,4.10,2.47,1.59,5.5,0.3,0.0,94.2,0.0,0.0,0.0,0.0,948,5,943,0,0
