system_time,cpu_usage_usr,cpu_usage_sys,cpu_usage_idl,cpu_usage_wai,cpu_usage_hiq,cpu_usage_siq,memory_used,memory_buff,memory_cach,memory_free,load_1m,load_5m,load_15m
2021-12-06 10:33:33,2,0,98,0,0,0,11.0G,4724k,182M,743G,0.29,0.23,0.23
2021-12-06 10:33:34,0,1,99,0,0,0,11.0G,4724k,182M,743G,0.29,0.23,0.23
2021-12-06 10:33:35,0,1,99,0,0,0,11.0G,4724k,182M,743G,0.29,0.23,0.23
2021-12-06 10:33:36,0,1,99,0,0,0,11.0G,4724k,182M,743G,0.29,0.23,0.23
2021-12-06 10:33:37,0,1,99,0,0,0,11.0G,4724k,182M,743G,0.29,0.23,0.23
2021-12-06 10:33:38,0,1,99,0,0,0,11.1G,4724k,182M,743G,0.43,0.26,0.24
2021-12-06 10:33:39,0,0,100,0,0,0,11.1G,4724k,182M,743G,0.43,0.26,0.24
2021-12-06 10:33:40,0,0,100,0,0,0,11.1G,4724k,182M,743G,0.43,0.26,0.24
2021-12-06 10:33:41,0,0,100,0,0,0,11.1G,4724k,184M,743G,0.43,0.26,0.24
2021-12-06 10:33:42,1,0,99,0,0,0,11.1G,4724k,193M,743G,0.43,0.26,0.24
2021-12-06 10:33:43,1,0,99,0,0,0,11.1G,4724k,194M,743G,0.63,0.30,0.26
2021-12-06 10:33:44,0,1,99,0,0,0,11.1G,4724k,196M,743G,0.63,0.30,0.26
2021-12-06 10:33:45,0,1,99,0,0,0,11.1G,4724k,196M,743G,0.63,0.30,0.26
2021-12-06 10:33:46,0,0,100,0,0,0,11.1G,4724k,197M,743G,0.63,0.30,0.26
2021-12-06 10:33:47,0,0,100,0,0,0,11.1G,4732k,197M,743G,0.63,0.30,0.26
2021-12-06 10:33:48,0,0,100,0,0,0,11.1G,4732k,197M,743G,0.58,0.30,0.26
2021-12-06 10:33:49,0,0,100,0,0,0,11.1G,4732k,197M,743G,0.58,0.30,0.26
2021-12-06 10:33:50,0,0,100,0,0,0,11.1G,4732k,197M,743G,0.58,0.30,0.26
2021-12-06 10:33:51,0,0,100,0,0,0,11.1G,4732k,198M,743G,0.58,0.30,0.26
2021-12-06 10:33:52,0,0,100,0,0,0,11.1G,4740k,198M,743G,0.58,0.30,0.26
2021-12-06 10:33:53,0,0,100,0,0,0,11.1G,4740k,201M,743G,0.54,0.29,0.25
2021-12-06 10:33:54,0,0,99,1,0,0,11.1G,4740k,249M,743G,0.54,0.29,0.25
2021-12-06 10:33:55,0,0,98,1,0,0,11.1G,4740k,341M,743G,0.54,0.29,0.25
2021-12-06 10:33:56,0,0,99,1,0,0,11.1G,4740k,361M,743G,0.54,0.29,0.25
2021-12-06 10:33:57,0,0,99,1,0,0,11.1G,4740k,368M,743G,0.54,0.29,0.25
2021-12-06 10:33:58,0,0,99,1,0,0,11.2G,4744k,381M,743G,0.57,0.30,0.26
2021-12-06 10:33:59,0,0,99,1,0,0,11.2G,4744k,394M,743G,0.57,0.30,0.26
2021-12-06 10:34:00,0,0,99,1,0,0,11.2G,4744k,411M,743G,0.57,0.30,0.26
2021-12-06 10:34:01,0,0,99,1,0,0,11.2G,4744k,430M,743G,0.57,0.30,0.26
2021-12-06 10:34:02,0,0,99,0,0,0,11.2G,4744k,436M,743G,0.57,0.30,0.26
2021-12-06 10:34:03,0,0,99,1,0,0,11.2G,4744k,452M,743G,0.61,0.32,0.26
2021-12-06 10:34:04,0,0,99,1,0,0,11.2G,4744k,468M,743G,0.61,0.32,0.26
2021-12-06 10:34:05,0,0,99,1,0,0,11.3G,4744k,491M,743G,0.61,0.32,0.26
2021-12-06 10:34:06,1,0,99,0,0,0,11.3G,4744k,491M,743G,0.61,0.32,0.26
2021-12-06 10:34:07,1,0,99,0,0,0,11.3G,4744k,493M,743G,0.61,0.32,0.26
2021-12-06 10:34:08,0,0,99,1,0,0,11.3G,4744k,502M,743G,0.64,0.33,0.27
2021-12-06 10:34:09,0,0,99,1,0,0,11.3G,4744k,553M,743G,0.64,0.33,0.27
2021-12-06 10:34:10,0,0,99,1,0,0,11.3G,4744k,558M,743G,0.64,0.33,0.27
2021-12-06 10:34:11,1,0,99,0,0,0,11.3G,4744k,569M,743G,0.64,0.33,0.27
2021-12-06 10:34:12,1,0,99,0,0,0,11.3G,4744k,573M,743G,0.64,0.33,0.27
2021-12-06 10:34:13,1,0,99,0,0,0,11.4G,4744k,579M,743G,0.75,0.35,0.28
2021-12-06 10:34:14,1,0,99,0,0,0,11.4G,4744k,582M,743G,0.75,0.35,0.28
2021-12-06 10:34:15,1,0,99,0,0,0,11.4G,4744k,582M,743G,0.75,0.35,0.28
2021-12-06 10:34:16,1,0,99,0,0,0,11.4G,4744k,582M,743G,0.75,0.35,0.28
2021-12-06 10:34:17,1,0,99,0,0,0,11.4G,4744k,582M,743G,0.75,0.35,0.28
2021-12-06 10:34:18,1,0,99,0,0,0,11.4G,4744k,582M,743G,0.85,0.38,0.29
