system_time,cpu_usage_usr,cpu_usage_sys,cpu_usage_idl,cpu_usage_wai,cpu_usage_hiq,cpu_usage_siq,memory_used,memory_buff,memory_cach,memory_free,load_1m,load_5m,load_15m
2021-11-16 15:47:30,2,1,97,0,0,0,28.0G,618M,338G,388G,0.27,0.29,0.55
2021-11-16 15:47:31,0,1,99,0,0,0,28.0G,618M,338G,388G,0.41,0.32,0.56
2021-11-16 15:47:32,0,1,99,0,0,0,28.0G,618M,338G,388G,0.41,0.32,0.56
2021-11-16 15:47:33,0,1,99,0,0,0,28.0G,618M,338G,388G,0.41,0.32,0.56
2021-11-16 15:47:34,0,1,99,0,0,0,28.0G,618M,338G,388G,0.41,0.32,0.56
2021-11-16 15:47:35,0,1,99,0,0,0,28.0G,618M,338G,388G,0.41,0.32,0.56
2021-11-16 15:47:36,0,0,100,0,0,0,28.0G,618M,338G,387G,0.37,0.32,0.56
2021-11-16 15:47:37,0,0,100,0,0,0,28.0G,618M,338G,387G,0.37,0.32,0.56
2021-11-16 15:47:38,0,0,100,0,0,0,28.0G,618M,338G,387G,0.37,0.32,0.56
2021-11-16 15:47:39,0,0,100,0,0,0,28.0G,618M,338G,387G,0.37,0.32,0.56
2021-11-16 15:47:40,0,0,100,0,0,0,28.0G,618M,338G,387G,0.37,0.32,0.56
2021-11-16 15:47:41,0,0,100,0,0,0,28.0G,618M,338G,387G,0.34,0.31,0.56
2021-11-16 15:47:42,0,0,100,0,0,0,28.0G,618M,338G,387G,0.34,0.31,0.56
2021-11-16 15:47:43,0,0,100,0,0,0,28.0G,618M,338G,387G,0.34,0.31,0.56
2021-11-16 15:47:44,0,0,100,0,0,0,28.0G,618M,338G,387G,0.34,0.31,0.56
2021-11-16 15:47:45,0,0,100,0,0,0,28.0G,618M,338G,387G,0.34,0.31,0.56
2021-11-16 15:47:46,0,0,100,0,0,0,28.0G,618M,338G,387G,0.32,0.30,0.55
2021-11-16 15:47:47,0,0,100,0,0,0,28.0G,618M,338G,387G,0.32,0.30,0.55
2021-11-16 15:47:48,0,0,100,0,0,0,28.0G,618M,338G,387G,0.32,0.30,0.55
2021-11-16 15:47:49,0,0,100,0,0,0,28.0G,618M,338G,387G,0.32,0.30,0.55
2021-11-16 15:47:50,0,0,100,0,0,0,28.0G,618M,338G,387G,0.32,0.30,0.55
2021-11-16 15:47:51,0,0,100,0,0,0,28.0G,618M,338G,387G,0.29,0.30,0.55
2021-11-16 15:47:52,0,0,100,0,0,0,28.0G,618M,338G,387G,0.29,0.30,0.55
2021-11-16 15:47:53,0,0,100,0,0,0,28.0G,618M,338G,387G,0.29,0.30,0.55
2021-11-16 15:47:54,0,0,100,0,0,0,28.0G,618M,338G,387G,0.29,0.30,0.55
2021-11-16 15:47:55,0,0,100,0,0,0,28.0G,618M,338G,387G,0.29,0.30,0.55
2021-11-16 15:47:56,0,0,100,0,0,0,28.0G,618M,338G,387G,0.35,0.31,0.55
2021-11-16 15:47:57,0,0,100,0,0,0,28.0G,618M,338G,387G,0.35,0.31,0.55
2021-11-16 15:47:58,0,0,100,0,0,0,28.0G,618M,338G,387G,0.35,0.31,0.55
2021-11-16 15:47:59,0,0,100,0,0,0,28.0G,618M,338G,387G,0.35,0.31,0.55
