system_time,cpu_usage_usr,cpu_usage_sys,cpu_usage_idl,cpu_usage_wai,cpu_usage_hiq,cpu_usage_siq,memory_used,memory_buff,memory_cach,memory_free,load_1m,load_5m,load_15m
2021-12-03 22:19:35,5,0,94,0,0,0,10.9G,4516k,174M,743G,0.28,1.29,2.25
2021-12-03 22:19:36,0,1,99,0,0,0,10.9G,4524k,174M,743G,0.28,1.29,2.25
2021-12-03 22:19:37,0,1,99,0,0,0,11.0G,4524k,174M,743G,0.28,1.29,2.25
2021-12-03 22:19:38,0,1,99,0,0,0,11.0G,4524k,174M,743G,0.28,1.29,2.25
2021-12-03 22:19:39,0,1,99,0,0,0,11.0G,4524k,174M,743G,0.42,1.30,2.25
2021-12-03 22:19:40,0,1,99,0,0,0,11.0G,4524k,174M,743G,0.42,1.30,2.25
2021-12-03 22:19:41,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.42,1.30,2.25
2021-12-03 22:19:42,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.42,1.30,2.25
2021-12-03 22:19:43,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.42,1.30,2.25
2021-12-03 22:19:44,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.39,1.28,2.24
2021-12-03 22:19:45,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.39,1.28,2.24
2021-12-03 22:19:46,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.39,1.28,2.24
2021-12-03 22:19:47,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.39,1.28,2.24
2021-12-03 22:19:48,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.39,1.28,2.24
2021-12-03 22:19:49,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.36,1.26,2.22
2021-12-03 22:19:50,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.36,1.26,2.22
2021-12-03 22:19:51,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.36,1.26,2.22
2021-12-03 22:19:52,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.36,1.26,2.22
2021-12-03 22:19:53,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.36,1.26,2.22
2021-12-03 22:19:54,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.33,1.24,2.21
2021-12-03 22:19:55,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.33,1.24,2.21
2021-12-03 22:19:56,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.33,1.24,2.21
2021-12-03 22:19:57,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.33,1.24,2.21
2021-12-03 22:19:58,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.33,1.24,2.21
2021-12-03 22:19:59,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.30,1.22,2.20
2021-12-03 22:20:00,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.30,1.22,2.20
2021-12-03 22:20:01,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.30,1.22,2.20
2021-12-03 22:20:02,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.30,1.22,2.20
2021-12-03 22:20:03,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.30,1.22,2.20
2021-12-03 22:20:04,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.28,1.20,2.19
2021-12-03 22:20:05,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.28,1.20,2.19
2021-12-03 22:20:06,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.28,1.20,2.19
2021-12-03 22:20:07,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.28,1.20,2.19
2021-12-03 22:20:08,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.28,1.20,2.19
2021-12-03 22:20:09,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.26,1.18,2.18
2021-12-03 22:20:10,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.26,1.18,2.18
2021-12-03 22:20:11,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.26,1.18,2.18
2021-12-03 22:20:12,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.26,1.18,2.18
2021-12-03 22:20:13,0,0,100,0,0,0,11.0G,4524k,174M,743G,0.26,1.18,2.18
2021-12-03 22:20:14,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.23,1.16,2.16
2021-12-03 22:20:15,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.23,1.16,2.16
2021-12-03 22:20:16,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.23,1.16,2.16
2021-12-03 22:20:17,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.23,1.16,2.16
2021-12-03 22:20:18,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.23,1.16,2.16
2021-12-03 22:20:19,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.22,1.14,2.15
2021-12-03 22:20:20,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.22,1.14,2.15
2021-12-03 22:20:21,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.22,1.14,2.15
2021-12-03 22:20:22,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.22,1.14,2.15
2021-12-03 22:20:23,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.22,1.14,2.15
2021-12-03 22:20:24,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.20,1.12,2.14
2021-12-03 22:20:25,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.20,1.12,2.14
2021-12-03 22:20:26,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.20,1.12,2.14
2021-12-03 22:20:27,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.20,1.12,2.14
2021-12-03 22:20:28,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.20,1.12,2.14
2021-12-03 22:20:29,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.18,1.10,2.13
2021-12-03 22:20:30,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.18,1.10,2.13
2021-12-03 22:20:31,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.18,1.10,2.13
2021-12-03 22:20:32,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.18,1.10,2.13
2021-12-03 22:20:33,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.18,1.10,2.13
2021-12-03 22:20:34,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.17,1.09,2.12
2021-12-03 22:20:35,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.17,1.09,2.12
2021-12-03 22:20:36,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.17,1.09,2.12
2021-12-03 22:20:37,0,0,100,0,0,0,11.0G,4524k,179M,743G,0.17,1.09,2.12
