time,load_1m,load_5m,load_15m,cpu_us,cpu_sy,cpu_ni,cpu_id,cpu_wa,cpu_hi,cpu_si,cpu_st,proc_total,proc_running,proc_sleeping,proc_stopped,proc_zombie
11:24:30,0.53,2.45,3.58,0.2,1.5,0.0,98.2,0.0,0.0,0.0,0.0,900,2,898,0,0
11:24:33,0.65,2.45,3.57,0.0,1.2,0.0,98.8,0.0,0.0,0.0,0.0,912,2,910,0,0
11:24:36,0.65,2.45,3.57,0.0,0.9,0.0,99.1,0.0,0.0,0.0,0.0,921,1,920,0,0
11:24:39,0.59,2.41,3.55,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,921,1,920,0,0
11:24:42,0.59,2.41,3.55,0.3,0.1,0.0,99.6,0.0,0.0,0.0,0.0,922,2,920,0,0
11:24:45,0.63,2.38,3.54,1.0,0.4,0.0,98.6,0.0,0.0,0.0,0.0,938,2,936,0,0
11:24:48,0.66,2.36,3.53,1.1,0.3,0.0,98.6,0.0,0.0,0.0,0.0,938,2,936,0,0
11:24:51,0.66,2.36,3.53,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,938,2,936,0,0
11:24:54,0.92,2.39,3.53,6.4,0.5,0.0,93.0,0.0,0.0,0.0,0.0,942,6,936,0,0
11:24:57,0.92,2.39,3.53,4.3,0.4,0.0,95.3,0.0,0.0,0.0,0.0,942,3,939,0,0
11:25:00,0.93,2.37,3.52,1.2,0.2,0.0,98.5,0.0,0.0,0.0,0.0,942,2,940,0,0
11:25:03,0.86,2.33,3.50,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,942,2,940,0,0
11:25:06,0.86,2.33,3.50,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,942,2,940,0,0
11:25:09,0.87,2.30,3.48,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,942,2,940,0,0
11:25:12,0.87,2.30,3.48,1.2,0.2,0.0,98.6,0.0,0.0,0.0,0.0,943,2,941,0,0
11:25:15,0.88,2.28,3.47,1.8,0.7,0.0,97.5,0.0,0.0,0.0,0.0,943,2,941,0,0
11:25:18,0.81,2.24,3.45,1.2,0.9,0.0,97.9,0.0,0.0,0.0,0.0,943,6,937,0,0
11:25:21,0.81,2.24,3.45,6.0,0.5,0.0,93.4,0.0,0.0,0.0,0.0,943,5,938,0,0
11:25:24,0.90,2.24,3.44,5.8,0.5,0.0,93.7,0.0,0.0,0.0,0.0,943,5,938,0,0
11:25:27,0.90,2.24,3.44,5.8,0.6,0.0,93.7,0.0,0.0,0.0,0.0,943,5,938,0,0
11:25:30,1.07,2.25,3.44,5.8,0.5,0.0,93.7,0.0,0.0,0.0,0.0,943,6,937,0,0
11:25:33,1.31,2.28,3.44,5.7,0.5,0.0,93.8,0.0,0.0,0.0,0.0,943,6,937,0,0
11:25:36,1.31,2.28,3.44,5.7,0.4,0.0,93.9,0.0,0.0,0.0,0.0,943,5,938,0,0
11:25:39,1.52,2.31,3.45,5.8,0.6,0.0,93.6,0.0,0.0,0.0,0.0,943,6,937,0,0
11:25:42,1.52,2.31,3.45,5.8,0.5,0.0,93.7,0.0,0.0,0.0,0.0,943,5,938,0,0
11:25:45,1.72,2.34,3.45,5.7,0.5,0.0,93.8,0.0,0.0,0.0,0.0,943,5,938,0,0
