index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2021/11/18 11:24:35.722, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
1, 2021/11/18 11:24:35.725, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2021/11/18 11:24:35.728, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2021/11/18 11:24:35.730, 52.62 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2021/11/18 11:24:35.732, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2021/11/18 11:24:35.735, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2021/11/18 11:24:35.738, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2021/11/18 11:24:35.740, 53.07 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2021/11/18 11:24:40.743, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
1, 2021/11/18 11:24:40.745, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2021/11/18 11:24:40.746, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2021/11/18 11:24:40.748, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2021/11/18 11:24:40.750, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2021/11/18 11:24:40.752, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2021/11/18 11:24:40.754, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2021/11/18 11:24:40.756, 53.07 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2021/11/18 11:24:45.758, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 4 %, 0 %, 28, P0, 32510 MiB, 31738 MiB, 772 MiB
1, 2021/11/18 11:24:45.760, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32507 MiB, 3 MiB
2, 2021/11/18 11:24:45.762, 41.98 W, 367 MHz, 877 MHz, 367 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32507 MiB, 3 MiB
3, 2021/11/18 11:24:45.764, 40.49 W, 367 MHz, 877 MHz, 367 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32507 MiB, 3 MiB
4, 2021/11/18 11:24:45.766, 42.41 W, 367 MHz, 877 MHz, 367 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32507 MiB, 3 MiB
5, 2021/11/18 11:24:45.768, 42.44 W, 367 MHz, 877 MHz, 367 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32507 MiB, 3 MiB
6, 2021/11/18 11:24:45.770, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32507 MiB, 3 MiB
7, 2021/11/18 11:24:45.772, 53.07 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32507 MiB, 3 MiB
0, 2021/11/18 11:24:50.775, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 30594 MiB, 1916 MiB
1, 2021/11/18 11:24:50.777, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32507 MiB, 3 MiB
2, 2021/11/18 11:24:50.779, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32507 MiB, 3 MiB
3, 2021/11/18 11:24:50.781, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32507 MiB, 3 MiB
4, 2021/11/18 11:24:50.783, 41.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32507 MiB, 3 MiB
5, 2021/11/18 11:24:50.785, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32507 MiB, 3 MiB
6, 2021/11/18 11:24:50.787, 42.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 32507 MiB, 3 MiB
7, 2021/11/18 11:24:50.789, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32507 MiB, 3 MiB
