[7l----system---- ----total-cpu-usage---- ------memory-usage----- ---load-avg---
     time     |usr sys idl wai hiq siq| used  buff  cach  free| 1m   5m  15m 
12-05 14:08:03|  3   0  97   0   0   0|12.2G 5764k  199M  742G|0.28 0.24 0.41
12-05 14:08:04|  0   1  99   0   0   0|12.2G 5764k  199M  742G|0.28 0.24 0.41
12-05 14:08:05|  0   1  99   0   0   0|12.2G 5764k  199M  742G|0.28 0.24 0.41
12-05 14:08:06|  0   1  99   0   0   0|12.2G 5764k  200M  742G|0.34 0.26 0.41
12-05 14:08:07|  0   1  99   0   0   0|12.2G 5764k  200M  742G|0.34 0.26 0.41
12-05 14:08:08|  0   1  99   0   0   0|12.2G 5764k  200M  742G|0.34 0.26 0.41
12-05 14:08:09|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.34 0.26 0.41
12-05 14:08:10|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.34 0.26 0.41
12-05 14:08:11|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.25 0.41
12-05 14:08:12|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.25 0.41
12-05 14:08:13|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.25 0.41
12-05 14:08:14|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.25 0.41
12-05 14:08:15|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.25 0.41
12-05 14:08:16|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.37 0.27 0.41
12-05 14:08:17|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.37 0.27 0.41
12-05 14:08:18|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.37 0.27 0.41
12-05 14:08:19|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.37 0.27 0.41
12-05 14:08:20|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.37 0.27 0.41
12-05 14:08:21|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.42 0.28 0.42
12-05 14:08:22|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.42 0.28 0.42
12-05 14:08:23|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.42 0.28 0.42
12-05 14:08:24|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.42 0.28 0.42
12-05 14:08:25|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.42 0.28 0.42
12-05 14:08:26|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.47 0.29 0.42
12-05 14:08:27|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.47 0.29 0.42
12-05 14:08:28|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.47 0.29 0.42
12-05 14:08:29|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.47 0.29 0.42
12-05 14:08:30|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.47 0.29 0.42
12-05 14:08:31|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.43 0.28 0.42
12-05 14:08:32|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.43 0.28 0.42
12-05 14:08:33|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.43 0.28 0.42
12-05 14:08:34|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.43 0.28 0.42
12-05 14:08:35|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.43 0.28 0.42
12-05 14:08:36|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.39 0.28 0.41
12-05 14:08:37|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.39 0.28 0.41
12-05 14:08:38|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.39 0.28 0.41
12-05 14:08:39|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.39 0.28 0.41
12-05 14:08:40|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.39 0.28 0.41
12-05 14:08:41|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.36 0.27 0.41
12-05 14:08:42|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.36 0.27 0.41
12-05 14:08:43|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.36 0.27 0.41
12-05 14:08:44|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.36 0.27 0.41
12-05 14:08:45|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.36 0.27 0.41
12-05 14:08:46|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.33 0.27 0.41
12-05 14:08:47|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.33 0.27 0.41
12-05 14:08:48|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.33 0.27 0.41
12-05 14:08:49|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.33 0.27 0.41
12-05 14:08:50|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.33 0.27 0.41
12-05 14:08:51|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:08:52|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:08:53|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:08:54|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:08:55|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:08:56|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.28 0.26 0.41
12-05 14:08:57|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.28 0.26 0.41
12-05 14:08:58|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.28 0.26 0.41
12-05 14:08:59|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.28 0.26 0.41
12-05 14:09:00|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.28 0.26 0.41
12-05 14:09:01|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.34 0.27 0.41
12-05 14:09:02|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.34 0.27 0.41
12-05 14:09:03|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.34 0.27 0.41
12-05 14:09:04|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.34 0.27 0.41
12-05 14:09:05|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.34 0.27 0.41
12-05 14:09:06|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:09:07|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:09:08|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:09:09|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:09:10|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.31 0.27 0.41
12-05 14:09:11|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.29 0.27 0.40
12-05 14:09:12|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.29 0.27 0.40
12-05 14:09:13|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.29 0.27 0.40
12-05 14:09:14|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.29 0.27 0.40
12-05 14:09:15|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.29 0.27 0.40
12-05 14:09:16|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.35 0.28 0.41
12-05 14:09:17|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.35 0.28 0.41
12-05 14:09:18|  0   0 100   0   0   0|12.2G 5764k  200M  742G|0.35 0.28 0.41
12-05 14:09:19|  0   0 100   0   0   0|12.2G 5764k  206M  742G|0.35 0.28 0.41
12-05 14:09:20|  0   0  99   1   0   0|12.3G 5764k  266M  742G|0.35 0.28 0.41
12-05 14:09:21|  0   0  99   1   0   0|12.3G 5764k  361M  742G|0.48 0.31 0.42
12-05 14:09:22|  0   0  99   1   0   0|12.3G 5764k  431M  742G|0.48 0.31 0.42
12-05 14:09:23|  0   0  99   1   0   0|12.3G 5764k  438M  742G|0.48 0.31 0.42
12-05 14:09:24|  0   0  99   1   0   0|12.5G 5764k  449M  742G|0.48 0.31 0.42
12-05 14:09:25|  1   0  99   0   0   0|12.6G 5764k  456M  742G|0.48 0.31 0.42
12-05 14:09:26|  1   0  99   0   0   0|12.7G 5764k  503M  741G|0.52 0.32 0.42
12-05 14:09:27|  0   0  98   1   0   0|13.0G 5764k  584M  741G|0.52 0.32 0.42
12-05 14:09:28|  0   0  98   1   0   0|13.3G 5764k  667M  741G|0.52 0.32 0.42
12-05 14:09:29|  0   0  98   1   0   0|13.5G 5764k  749M  740G|0.52 0.32 0.42
12-05 14:09:30|  0   0  99   1   0   0|13.8G 5764k  824M  740G|0.52 0.32 0.42
12-05 14:09:31|  0   0  98   1   0   0|14.2G 5764k  895M  740G|0.56 0.33 0.42
12-05 14:09:32|  0   0  99   1   0   0|14.5G 5764k  969M  739G|0.56 0.33 0.42
12-05 14:09:33|  0   0  98   1   0   0|14.9G 5764k 1033M  739G|0.56 0.33 0.42
12-05 14:09:34|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.56 0.33 0.42
12-05 14:09:35|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.56 0.33 0.42
12-05 14:09:36|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.67 0.36 0.43
12-05 14:09:37|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.67 0.36 0.43
12-05 14:09:38|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.67 0.36 0.43
12-05 14:09:39|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.67 0.36 0.43
12-05 14:09:40|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.67 0.36 0.43
12-05 14:09:41|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.70 0.37 0.43
12-05 14:09:42|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.70 0.37 0.43
12-05 14:09:43|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.70 0.37 0.43
12-05 14:09:44|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.70 0.37 0.43
12-05 14:09:45|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.70 0.37 0.43
12-05 14:09:46|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.80 0.39 0.44
12-05 14:09:47|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.80 0.39 0.44
12-05 14:09:48|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.80 0.39 0.44
12-05 14:09:49|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.80 0.39 0.44
12-05 14:09:50|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.80 0.39 0.44
12-05 14:09:51|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.82 0.40 0.45
12-05 14:09:52|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.82 0.40 0.45
12-05 14:09:53|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.82 0.40 0.45
12-05 14:09:54|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.82 0.40 0.45
12-05 14:09:55|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.82 0.40 0.45
12-05 14:09:56|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.83 0.41 0.45
12-05 14:09:57|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.83 0.41 0.45
12-05 14:09:58|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.83 0.41 0.45
12-05 14:09:59|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.83 0.41 0.45
12-05 14:10:00|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.83 0.41 0.45
12-05 14:10:01|  1   0  99   0   0   0|15.0G 5764k 1074M  738G|0.85 0.42 0.45
12-05 14:10:02|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.85 0.42 0.45
12-05 14:10:03|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.85 0.42 0.45
12-05 14:10:04|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.85 0.42 0.45
12-05 14:10:05|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.85 0.42 0.45
12-05 14:10:06|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.86 0.43 0.45
12-05 14:10:07|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.86 0.43 0.45
12-05 14:10:08|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.86 0.43 0.45
12-05 14:10:09|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.86 0.43 0.45
12-05 14:10:10|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.86 0.43 0.45
12-05 14:10:11|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.87 0.44 0.46
12-05 14:10:12|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.87 0.44 0.46
12-05 14:10:13|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.87 0.44 0.46
12-05 14:10:14|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.87 0.44 0.46
12-05 14:10:15|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.87 0.44 0.46
12-05 14:10:16|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.88 0.45 0.46
12-05 14:10:17|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.88 0.45 0.46
12-05 14:10:18|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.88 0.45 0.46
12-05 14:10:19|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.88 0.45 0.46
12-05 14:10:20|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.88 0.45 0.46
12-05 14:10:21|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.97 0.48 0.47
12-05 14:10:22|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.97 0.48 0.47
12-05 14:10:23|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.97 0.48 0.47
12-05 14:10:24|  1   0  99   0   0   0|15.0G 5764k 1128M  738G|0.97 0.48 0.47
