index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate,memory_total(MiB),memory_free(MiB),memory_used(MiB)
0, 2022/05/12 14:08:09.207, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0,32510,32510,0
1, 2022/05/12 14:08:09.210, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0,32510,32510,0
2, 2022/05/12 14:08:09.213, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0,32510,32510,0
3, 2022/05/12 14:08:09.215, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0,32510,32510,0
4, 2022/05/12 14:08:09.218, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0,32510,32510,0
5, 2022/05/12 14:08:09.220, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0,32510,32510,0
6, 2022/05/12 14:08:09.223, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0,32510,32510,0
7, 2022/05/12 14:08:09.225, 53.07 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0,32510,32510,0
0, 2022/05/12 14:08:14.228, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0,32510,32510,0
1, 2022/05/12 14:08:14.230, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0,32510,32510,0
2, 2022/05/12 14:08:14.231, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0,32510,32510,0
3, 2022/05/12 14:08:14.233, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0,32510,32510,0
4, 2022/05/12 14:08:14.235, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0,32510,32510,0
5, 2022/05/12 14:08:14.237, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,33, P0,32510,32510,0
6, 2022/05/12 14:08:14.239, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0,32510,32510,0
7, 2022/05/12 14:08:14.242, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0,32510,32510,0
0, 2022/05/12 14:08:19.244, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
1, 2022/05/12 14:08:19.247, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
2, 2022/05/12 14:08:19.249, 41.98 W, 367 MHz, 877 MHz, 367 MHz, [N/A],0%,0%,32, P0,32510,32510,0
3, 2022/05/12 14:08:19.251, 40.49 W, 367 MHz, 877 MHz, 367 MHz, [N/A],0%,0%,28, P0,32510,32510,0
4, 2022/05/12 14:08:19.253, 42.41 W, 367 MHz, 877 MHz, 367 MHz, [N/A],0%,0%,28, P0,32510,32510,0
5, 2022/05/12 14:08:19.255, 42.44 W, 367 MHz, 877 MHz, 367 MHz, [N/A],0%,0%,32, P0,32510,32510,0
6, 2022/05/12 14:08:19.257, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,32, P0,32510,32510,0
7, 2022/05/12 14:08:19.259, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0,32510,32510,0
0, 2022/05/12 14:08:24.261, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
1, 2022/05/12 14:08:24.263, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
2, 2022/05/12 14:08:24.265, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:08:24.267, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
4, 2022/05/12 14:08:24.269, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
5, 2022/05/12 14:08:24.271, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,32, P0,32510,32510,0
6, 2022/05/12 14:08:24.272, 42.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
7, 2022/05/12 14:08:24.274, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
0, 2022/05/12 14:08:29.276, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
1, 2022/05/12 14:08:29.278, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
2, 2022/05/12 14:08:29.280, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:08:29.284, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
4, 2022/05/12 14:08:29.285, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
5, 2022/05/12 14:08:29.287, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,32, P0,32510,32510,0
6, 2022/05/12 14:08:29.289, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
7, 2022/05/12 14:08:29.291, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
0, 2022/05/12 14:08:34.293, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
1, 2022/05/12 14:08:34.295, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
2, 2022/05/12 14:08:34.297, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:08:34.299, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
4, 2022/05/12 14:08:34.301, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32510,0
5, 2022/05/12 14:08:34.303, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,32, P0,32510,32510,0
6, 2022/05/12 14:08:34.305, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
7, 2022/05/12 14:08:34.306, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
0, 2022/05/12 14:08:39.308, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32510,0
1, 2022/05/12 14:08:39.311, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
2, 2022/05/12 14:08:39.313, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:08:39.315, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:08:39.317, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:08:39.319, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:08:39.321, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:08:39.323, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
0, 2022/05/12 14:08:44.326, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32510,0
1, 2022/05/12 14:08:44.328, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
2, 2022/05/12 14:08:44.330, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:08:44.332, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:08:44.334, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:08:44.336, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:08:44.338, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:08:44.340, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
0, 2022/05/12 14:08:49.342, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32510,0
1, 2022/05/12 14:08:49.344, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
2, 2022/05/12 14:08:49.345, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:08:49.348, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
4, 2022/05/12 14:08:49.350, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
5, 2022/05/12 14:08:49.352, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
6, 2022/05/12 14:08:49.354, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
7, 2022/05/12 14:08:49.356, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32510,0
0, 2022/05/12 14:08:54.358, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0,32510,32510,0
1, 2022/05/12 14:08:54.360, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32510,0
2, 2022/05/12 14:08:54.362, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32510,0
3, 2022/05/12 14:08:54.363, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32510,0
