index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2022/08/02 18:15:00.539, 54.68 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
1, 2022/08/02 18:15:00.542, 53.21 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32509 MiB, 1 MiB
2, 2022/08/02 18:15:00.545, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
3, 2022/08/02 18:15:00.548, 52.75 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
4, 2022/08/02 18:15:00.553, 52.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
5, 2022/08/02 18:15:00.555, 53.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32510 MiB, 0 MiB
6, 2022/08/02 18:15:00.558, 55.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32510 MiB, 0 MiB
7, 2022/08/02 18:15:00.561, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],2%,0%,28, P0, 32768 MiB, 32510 MiB, 0 MiB
0, 2022/08/02 18:15:05.569, 54.68 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 30873 MiB, 1636 MiB
1, 2022/08/02 18:15:05.571, 53.21 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
2, 2022/08/02 18:15:05.572, 56.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
3, 2022/08/02 18:15:05.574, 52.75 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:15:05.576, 52.22 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:15:05.577, 53.70 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:15:05.580, 55.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:15:05.581, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:15:10.583, 54.72 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 30837 MiB, 1672 MiB
1, 2022/08/02 18:15:10.589, 55.17 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],4%,0%,31, P0, 32768 MiB, 31849 MiB, 660 MiB
2, 2022/08/02 18:15:10.590, 57.67 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32193 MiB, 316 MiB
3, 2022/08/02 18:15:10.592, 41.93 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:15:10.594, 40.95 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:15:10.596, 41.44 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:15:10.598, 47.31 W, 315 MHz, 877 MHz, 315 MHz, [N/A],0%,0%,31, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:15:10.599, 54.19 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:15:15.601, 286.69 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],100%,33%,38, P0, 32768 MiB, 23999 MiB, 8510 MiB
1, 2022/08/02 18:15:15.603, 264.62 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,32%,41, P0, 32768 MiB, 24513 MiB, 7996 MiB
2, 2022/08/02 18:15:15.605, 267.76 W, 1500 MHz, 877 MHz, 1500 MHz, [N/A],100%,34%,41, P0, 32768 MiB, 24639 MiB, 7870 MiB
3, 2022/08/02 18:15:15.607, 41.33 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:15:15.609, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:15:15.611, 40.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:15:15.612, 41.90 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:15:15.614, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:15:20.616, 266.57 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],99%,62%,42, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:15:20.618, 197.66 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,56%,44, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:15:20.620, 184.57 W, 1507 MHz, 877 MHz, 1507 MHz, [N/A],94%,51%,45, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:15:20.625, 41.38 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:15:20.626, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:15:20.628, 40.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:15:20.630, 41.90 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:15:20.632, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:15:25.634, 305.30 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,62%,45, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:15:25.636, 300.34 W, 1522 MHz, 877 MHz, 1522 MHz, [N/A],100%,59%,46, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:15:25.638, 325.56 W, 1507 MHz, 877 MHz, 1507 MHz, [N/A],95%,53%,48, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:15:25.639, 41.28 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:15:25.644, 39.91 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:15:25.646, 40.89 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:15:25.650, 41.90 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:15:25.652, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:15:30.654, 235.49 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],100%,61%,46, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:15:30.656, 196.68 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],93%,58%,47, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:15:30.657, 207.85 W, 1477 MHz, 877 MHz, 1477 MHz, [N/A],94%,56%,49, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:15:30.659, 41.36 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:15:30.661, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:15:30.662, 40.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:15:30.665, 41.90 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:15:30.667, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:15:35.669, 294.78 W, 1507 MHz, 877 MHz, 1507 MHz, [N/A],97%,64%,48, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:15:35.675, 244.77 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],91%,53%,50, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:15:35.676, 242.63 W, 1462 MHz, 877 MHz, 1462 MHz, [N/A],91%,49%,52, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:15:35.678, 41.36 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
