system_time,cpu_usage_usr,cpu_usage_sys,cpu_usage_idl,cpu_usage_wai,cpu_usage_hiq,cpu_usage_siq,memory_used,memory_buff,memory_cach,memory_free,load_1m,load_5m,load_15m
2021-08-02 20:24:56,2,0,97,0,0,0,22.8G,614M,316G,416G,0.41,1.02,1.11
2021-08-02 20:24:57,0,1,98,0,0,0,22.8G,614M,316G,416G,0.41,1.02,1.11
2021-08-02 20:24:58,0,1,97,1,0,0,22.8G,614M,316G,415G,0.41,1.02,1.11
2021-08-02 20:24:59,0,1,97,1,0,0,22.9G,614M,316G,415G,0.54,1.04,1.11
2021-08-02 20:25:00,0,1,98,1,0,0,22.9G,614M,316G,415G,0.54,1.04,1.11
2021-08-02 20:25:01,0,1,98,1,0,0,22.9G,614M,316G,415G,0.54,1.04,1.11
2021-08-02 20:25:02,0,1,99,1,0,0,23.2G,614M,316G,415G,0.54,1.04,1.11
2021-08-02 20:25:03,0,0,99,1,0,0,23.3G,614M,316G,415G,0.54,1.04,1.11
2021-08-02 20:25:04,1,0,99,0,0,0,23.7G,614M,316G,414G,0.58,1.04,1.11
2021-08-02 20:25:05,1,0,99,0,0,0,23.9G,614M,316G,414G,0.58,1.04,1.11
2021-08-02 20:25:06,0,0,98,1,0,0,24.2G,614M,316G,414G,0.58,1.04,1.11
2021-08-02 20:25:07,0,0,98,1,0,0,24.5G,614M,316G,413G,0.58,1.04,1.11
2021-08-02 20:25:08,0,0,99,1,0,0,24.8G,614M,316G,413G,0.58,1.04,1.11
2021-08-02 20:25:09,0,0,98,1,0,0,25.1G,614M,316G,413G,0.61,1.04,1.11
2021-08-02 20:25:10,1,0,99,1,0,0,25.5G,614M,316G,412G,0.61,1.04,1.11
2021-08-02 20:25:11,1,0,99,0,0,0,25.1G,614M,316G,413G,0.61,1.04,1.11
2021-08-02 20:25:12,1,0,99,0,0,0,25.2G,614M,316G,413G,0.61,1.04,1.11
2021-08-02 20:25:13,1,0,99,0,0,0,25.2G,614M,316G,413G,0.61,1.04,1.11
2021-08-02 20:25:14,8,1,91,0,0,0,25.6G,614M,316G,412G,0.88,1.09,1.13
2021-08-02 20:25:15,5,1,94,0,0,0,26.3G,614M,317G,411G,0.88,1.09,1.13
2021-08-02 20:25:16,3,1,96,0,0,0,26.6G,614M,317G,410G,0.88,1.09,1.13
2021-08-02 20:25:17,1,0,99,0,0,0,26.9G,614M,317G,410G,0.88,1.09,1.13
2021-08-02 20:25:18,1,0,99,0,0,0,27.1G,614M,317G,409G,0.88,1.09,1.13
2021-08-02 20:25:19,1,0,99,0,0,0,27.4G,614M,317G,409G,0.89,1.09,1.13
2021-08-02 20:25:20,1,0,99,0,0,0,27.6G,614M,317G,409G,0.89,1.09,1.13
2021-08-02 20:25:21,2,0,98,0,0,0,27.8G,614M,317G,409G,0.89,1.09,1.13
2021-08-02 20:25:22,0,0,98,1,0,0,28.0G,614M,318G,408G,0.89,1.09,1.13
2021-08-02 20:25:23,1,0,99,0,0,0,28.1G,614M,318G,408G,0.89,1.09,1.13
2021-08-02 20:25:24,0,0,99,0,0,0,28.1G,614M,318G,408G,0.82,1.07,1.12
2021-08-02 20:25:25,6,1,93,0,0,0,28.2G,614M,318G,408G,0.82,1.07,1.12
2021-08-02 20:25:26,6,1,93,0,0,0,28.1G,614M,318G,408G,0.82,1.07,1.12
2021-08-02 20:25:27,7,1,92,0,0,0,28.2G,614M,318G,408G,0.82,1.07,1.12
2021-08-02 20:25:28,7,1,93,0,0,0,28.2G,614M,318G,408G,0.82,1.07,1.12
2021-08-02 20:25:29,7,1,93,0,0,0,28.2G,614M,318G,408G,1.16,1.13,1.14
2021-08-02 20:25:30,7,1,93,0,0,0,28.2G,614M,318G,408G,1.16,1.13,1.14
2021-08-02 20:25:31,7,1,92,0,0,0,28.2G,614M,318G,408G,1.16,1.13,1.14
2021-08-02 20:25:32,7,1,92,0,0,0,28.2G,614M,318G,408G,1.16,1.13,1.14
2021-08-02 20:25:33,7,1,93,0,0,0,28.3G,614M,318G,408G,1.16,1.13,1.14
2021-08-02 20:25:34,7,1,93,0,0,0,28.2G,614M,318G,408G,1.54,1.21,1.17
2021-08-02 20:25:35,7,1,93,0,0,0,28.3G,614M,318G,408G,1.54,1.21,1.17
2021-08-02 20:25:36,7,1,92,0,0,0,28.2G,614M,318G,408G,1.54,1.21,1.17
2021-08-02 20:25:37,7,1,92,0,0,0,28.3G,614M,318G,408G,1.54,1.21,1.17
2021-08-02 20:25:38,7,1,93,0,0,0,28.3G,614M,318G,408G,1.54,1.21,1.17
2021-08-02 20:25:39,7,1,92,0,0,0,28.3G,614M,318G,408G,1.82,1.28,1.19
2021-08-02 20:25:40,7,1,92,0,0,0,28.3G,614M,318G,408G,1.82,1.28,1.19
2021-08-02 20:25:41,7,1,93,0,0,0,28.3G,614M,318G,408G,1.82,1.28,1.19
2021-08-02 20:25:42,7,1,92,0,0,0,28.3G,614M,318G,408G,1.82,1.28,1.19
2021-08-02 20:25:43,7,1,92,0,0,0,28.3G,614M,318G,408G,1.82,1.28,1.19
2021-08-02 20:25:44,7,1,93,0,0,0,28.3G,614M,318G,408G,2.08,1.34,1.21
2021-08-02 20:25:45,7,1,92,0,0,0,28.3G,614M,318G,408G,2.08,1.34,1.21
2021-08-02 20:25:46,7,1,93,0,0,0,28.3G,614M,318G,408G,2.08,1.34,1.21
2021-08-02 20:25:47,7,1,93,0,0,0,28.3G,614M,318G,408G,2.08,1.34,1.21
2021-08-02 20:25:48,6,1,93,0,0,0,28.3G,614M,318G,408G,2.08,1.34,1.21
