[7l----system---- ----total-cpu-usage---- ------memory-usage----- ---load-avg---
     time     |usr sys idl wai hiq siq| used  buff  cach  free| 1m   5m  15m 
02-08 22:25:02|  3   1  97   0   0   0|22.8G  614M  317G  414G|0.40 2.46 3.63
02-08 22:25:03|  1   1  97   0   0   0|22.9G  614M  317G  414G|0.40 2.46 3.63
02-08 22:25:04|  0   1  98   0   0   0|22.9G  614M  317G  414G|0.40 2.46 3.63
02-08 22:25:05|  0   1  99   0   0   0|22.9G  614M  317G  414G|0.40 2.46 3.63
02-08 22:25:06|  0   1  99   0   0   0|23.0G  614M  317G  414G|0.53 2.45 3.62
02-08 22:25:07|  0   1  99   0   0   0|23.0G  614M  317G  414G|0.53 2.45 3.62
02-08 22:25:08|  0   1  99   0   0   0|23.2G  614M  317G  413G|0.53 2.45 3.62
02-08 22:25:09|  1   0  99   0   0   0|23.7G  614M  317G  413G|0.53 2.45 3.62
02-08 22:25:10|  1   0  99   0   0   0|24.1G  614M  317G  413G|0.53 2.45 3.62
02-08 22:25:11|  1   0  98   0   0   0|24.9G  614M  317G  412G|0.57 2.42 3.60
02-08 22:25:12|  1   0  99   0   0   0|25.0G  614M  317G  412G|0.57 2.42 3.60
02-08 22:25:13|  1   0  99   0   0   0|25.1G  614M  317G  411G|0.57 2.42 3.60
02-08 22:25:14|  1   0  99   0   0   0|25.2G  614M  317G  411G|0.57 2.42 3.60
02-08 22:25:15|  1   0  99   0   0   0|25.3G  614M  317G  411G|0.57 2.42 3.60
02-08 22:25:16|  9   1  90   0   0   0|25.6G  614M  317G  411G|0.60 2.40 3.59
02-08 22:25:17|  5   1  94   0   0   0|26.4G  614M  318G  409G|0.60 2.40 3.59
02-08 22:25:18|  2   1  97   0   0   0|26.7G  614M  319G  409G|0.60 2.40 3.59
02-08 22:25:19|  1   0  99   0   0   0|27.0G  614M  319G  408G|0.60 2.40 3.59
02-08 22:25:20|  1   0  99   0   0   0|27.3G  614M  319G  408G|0.60 2.40 3.59
02-08 22:25:21|  1   0  99   0   0   0|27.5G  614M  319G  408G|0.63 2.38 3.58
02-08 22:25:22|  1   0  99   0   0   0|27.8G  614M  319G  408G|0.63 2.38 3.58
02-08 22:25:23|  1   0  99   0   0   0|28.0G  614M  319G  407G|0.63 2.38 3.58
02-08 22:25:24|  1   0  99   0   0   0|28.3G  614M  319G  407G|0.63 2.38 3.58
02-08 22:25:25|  1   0  99   0   0   0|28.5G  614M  319G  407G|0.63 2.38 3.58
